City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Vaini,-21.2,-175.2,77.16,83,75,10.36
Lüderitz,-26.6481,15.1594,66.85,33,0,12.33
San Juan,-31.5375,-68.5364,64.72,59,0,4.85
Pontes e Lacerda,-15.2261,-59.3353,79.12,48,99,2.46
Lebu,-37.6167,-73.65,47.19,83,96,6.87
Forestville,38.8451,-76.875,79.47,76,1,5.75
Tiksi,71.6872,128.8694,44.74,58,99,1.12
Ushuaia,-54.8,-68.3,42.46,65,40,20.71
Distrikt Brokopondo,4.75,-55.1667,75.04,92,100,6.67
Moses Lake,47.1301,-119.2781,63.55,27,20,10.36
Mayo,38.8876,-76.5119,79.65,77,1,1.01
Torbay,47.6666,-52.7314,38.3,93,90,9.22
Bethel,41.3712,-73.414,75.63,72,74,1.01
Bluff,-46.6,168.3333,49.8,73,7,8.79
Guerrero Negro,27.9769,-114.0611,63.88,74,83,16.42
San Patricio,28.017,-97.5169,82.49,88,2,14.0
Sinnamary,5.3833,-52.95,77.0,89,100,4.25
Arraial do Cabo,-22.9661,-42.0278,72.97,88,69,14.61
Alofi,-19.0595,-169.9187,78.69,65,10,6.91
Lamar,33.6668,-95.5836,76.5,78,1,7.18
Mabaruma,8.2,-59.7833,73.42,98,83,3.44
Mackay,-21.15,149.2,71.76,64,90,12.66
Williamsburg,37.2707,-76.7075,79.7,78,1,3.44
Saskylakh,71.9167,114.0833,42.66,47,100,7.05
Acapulco de Juárez,16.8634,-99.8901,85.82,74,75,8.03
Atuona,-9.8,-139.0333,80.01,64,22,7.25
Rikitea,-23.1203,-134.9692,76.39,85,100,16.15
Basco,20.4487,121.9702,83.12,79,99,11.77
Albany,42.6001,-73.9662,73.56,69,45,3.15
Vao,-22.6667,167.4833,69.96,62,21,15.01
Mandalgovi,45.7625,106.2708,50.7,57,0,17.81
Kysyl-Syr,63.8986,122.7617,46.76,83,100,11.34
Chake Chake,-5.2459,39.7666,76.32,77,28,15.59
Port Alfred,-33.5906,26.891,62.47,36,0,9.46
Jamestown,42.097,-79.2353,72.86,64,1,8.05
Westport,41.1415,-73.3579,75.56,71,1,1.01
Yar-Sale,66.8333,70.8333,39.15,60,84,11.63
Saint-Joseph,-21.3667,55.6167,69.24,84,96,16.64
Yellowknife,62.456,-114.3525,48.49,57,75,7.0
Kieta,-6.2167,155.6333,85.26,70,13,5.68
Tuktoyaktuk,69.4541,-133.0374,37.4,70,75,14.97
Kenai,60.5544,-151.2583,62.71,43,1,13.8
Kapaa,22.0752,-159.319,80.22,68,20,5.01
Northam,51.0333,-4.2167,52.32,95,55,4.52
George Town,5.4112,100.3354,81.99,86,20,1.01
Elliot,-31.3333,27.85,41.05,55,0,7.0
Coquimbo,-29.9533,-71.3436,55.13,87,90,2.19
Severo-Kuril'sk,50.6789,156.125,44.06,92,100,13.96
Tarakan,3.3,117.6333,83.7,84,40,2.3
Kudahuvadhoo,2.6708,72.8944,82.78,72,30,15.23
Bad Liebenwerda,51.5167,13.4,61.99,85,91,5.1
Zhangaözen,43.3,52.8,67.12,58,17,5.5
Dunedin,-45.8742,170.5036,54.81,63,73,8.99
Cape Town,-33.9258,18.4232,66.49,37,0,15.37
Ahipara,-35.1667,173.1667,61.23,89,97,10.47
Kaitangata,-46.2817,169.8464,52.09,68,1,7.78
Auki,-8.7676,160.7034,84.94,67,15,3.27
Paamiut,61.994,-49.6678,38.03,97,100,4.25
Laguna,38.421,-121.4238,84.76,31,1,7.0
Butaritari,3.0707,172.7902,83.01,72,18,8.25
Visby,57.6409,18.296,43.02,93,9,1.14
Tasiilaq,65.6145,-37.6368,39.36,89,94,3.6
Mataura,-46.1927,168.8643,49.48,63,0,3.78
Omsukchan,62.5333,155.8,53.51,60,100,7.63
Zabid,14.1951,43.3152,84.52,67,6,6.24
Batagay,67.6333,134.6333,57.29,33,100,7.85
Puerto Ayora,-0.7393,-90.3518,71.55,96,32,5.99
Bredasdorp,-34.5322,20.0403,56.52,47,6,8.41
Punta Arenas,-53.15,-70.9167,35.71,87,0,11.18
General Roca,-39.0333,-67.5833,43.2,48,100,7.85
Diu,20.7141,70.9822,85.06,69,35,10.45
Castro,-24.7911,-50.0119,59.65,73,100,3.51
Oranjemund,-28.55,16.4333,65.71,34,0,20.58
Kahului,20.8947,-156.47,82.33,65,40,23.02
Busselton,-33.65,115.3333,50.09,61,21,8.61
Raja,8.4596,25.678,69.71,91,99,3.8
Marzuq,14.4,46.4667,78.82,39,49,5.23
Oromocto,45.8351,-66.4792,69.3,77,75,4.61
Laas,46.6166,10.7002,57.4,94,100,0.96
Saldanha,-33.0117,17.9442,69.85,37,1,27.89
Codrington,-38.2667,141.9667,63.3,52,100,24.96
Saint-Philippe,-21.3585,55.7679,70.25,82,98,17.67
Vaitape,-16.5167,-151.75,81.39,76,35,11.41
Yakeshi,49.2833,120.7333,73.04,36,0,7.23
Asău,46.4333,26.4,54.95,78,39,5.08
Upernavik,72.7868,-56.1549,35.8,83,21,4.65
Avarua,-21.2078,-159.775,75.25,69,90,5.75
Tsagan Aman,47.5639,46.7218,63.81,71,100,7.92
Sampit,-2.5333,112.95,85.95,67,98,4.41
Hobart,-42.8794,147.3294,61.41,53,75,5.99
Benalla,-36.55,145.9833,53.83,61,100,13.85
Richards Bay,-28.783,32.0377,57.24,80,0,7.63
Hilo,19.7297,-155.09,77.63,73,90,13.8
Puerto Escondido,15.85,-97.0667,85.03,61,75,8.05
Ciudad de Armería,18.9333,-103.9667,85.77,73,19,2.13
Todos Santos,23.45,-110.2167,77.04,68,52,3.67
Oyem,1.5995,11.5793,68.32,98,100,1.23
Hīt,33.6416,42.8251,79.52,20,0,9.75
Leningradskiy,69.3833,178.4167,43.83,64,14,17.92
New Norfolk,-42.7826,147.0587,61.34,36,100,10.76
Ust'-Barguzin,53.45,108.9833,45.75,84,100,3.56
Bay Roberts,47.5999,-53.2648,40.08,91,37,8.99
Airai,-8.9266,125.4092,70.97,50,97,2.98
Hithadhoo,-0.6,73.0833,82.98,72,9,12.21
Dhanwār,24.4167,85.9833,87.04,44,100,8.34
Mnogovershinnyy,53.9353,139.9242,46.2,76,94,7.74
Kayerkan,69.3497,87.7602,31.3,94,100,8.03
Aktyubinskiy,54.8137,52.8056,58.37,70,5,2.17
Mahébourg,-20.4081,57.7,73.69,83,40,9.22
Pitimbu,-7.4706,-34.8086,75.79,85,28,9.42
Rajo Khanani,24.9841,68.8536,84.52,69,0,16.71
Mar del Plata,-38.0023,-57.5575,50.52,72,61,3.0
Tura,25.5198,90.2201,77.92,88,46,5.44
Abadan,38.0507,58.2056,76.73,44,0,10.27
Kaeo,-35.1,173.7833,61.32,97,100,10.2
Maningrida,-12.0667,134.2667,84.02,56,5,8.79
Pangai,-19.8,-174.35,82.51,61,75,8.05
Khatanga,71.9667,102.5,36.86,71,97,10.04
Sept-Îles,50.2001,-66.3821,51.04,80,40,1.99
Boa Vista,2.8197,-60.6733,82.38,78,20,4.61
Carnarvon,-24.8667,113.6333,64.47,63,100,11.5
Gayéri,12.6497,0.4931,83.98,52,76,16.55
Ribeira Grande,38.5167,-28.7,64.81,90,100,8.9
Llanes,43.4198,-4.7549,58.01,86,47,3.91
Ambilobe,-13.2,49.05,68.59,93,69,3.22
Tacuarembó,-31.7333,-55.9833,45.66,92,7,8.59
Shubarshi,48.5872,57.1869,65.1,54,100,5.84
Port Blair,11.6667,92.75,78.84,83,90,9.22
Keti Bandar,24.1447,67.4497,85.12,66,88,14.23
Churapcha,62.0025,132.4325,74.77,46,99,15.19
Chapais,49.7834,-74.8492,69.58,78,49,6.33
Tessalit,20.1986,1.0114,91.15,11,0,7.58
Klaksvík,62.2266,-6.589,49.12,96,100,5.64
Iquique,-20.2208,-70.1431,60.84,79,100,1.57
Dongning,44.0622,131.1207,70.14,65,6,2.75
Tuatapere,-46.1333,167.6833,49.82,70,4,4.16
Ugoofaaru,5.6667,73.0,82.65,77,100,16.55
Mbandaka,0.0487,18.2603,68.61,98,100,4.07
Byron Bay,-28.65,153.6167,65.34,59,0,3.71
Pangnirtung,66.1451,-65.7125,27.18,92,92,3.8
Padang,-0.9492,100.3543,82.89,63,19,0.6
Veseloyarsk,51.2836,81.1056,63.77,55,0,13.27
Alta Floresta,-9.8756,-56.0861,74.1,61,100,3.98
Pevek,69.7008,170.3133,49.37,60,4,12.41
Iqaluit,63.7506,-68.5145,32.7,86,75,5.99
Katobu,-4.9408,122.5276,86.16,56,42,6.82
Sri Aman,1.2376,111.4621,80.65,83,20,3.44
Lufilufi,-13.8745,-171.5986,89.38,73,21,2.8
Mocuba,-16.8392,36.9856,59.41,97,32,4.47
Vardø,70.3705,31.1107,39.22,72,6,4.85
Lagoa,39.05,-27.9833,63.52,88,100,13.04
Cherskiy,68.75,161.3,70.21,33,80,20.4
Cabo San Lucas,22.8909,-109.9124,88.77,40,1,0.0
Sorong,-0.8833,131.25,84.15,70,100,5.06
Marystown,47.1666,-55.1483,44.28,83,90,13.78
Nianzishan,47.5167,122.8833,74.71,35,0,8.28
Sulangan,11.1373,123.7228,82.9,70,77,6.02
Iranshahr,27.2025,60.6848,89.06,47,0,0.78
Clyde River,70.4692,-68.5914,34.03,93,90,17.27
Ilulissat,69.2167,-51.1,37.42,87,0,2.3
Anadyr,64.75,177.4833,45.1,61,40,7.72
Landerneau,48.4525,-4.2525,54.99,94,90,3.02
Belen,36.4891,36.2233,62.74,78,0,5.08
Beruwala,6.4788,79.9828,81.39,82,99,9.1
Louth,53.3666,-0.0044,52.11,94,83,2.24
Ponta do Sol,32.6667,-17.1,64.18,76,13,5.53
Saint Paul Harbor,57.79,-152.4072,65.71,32,1,13.8
Prince Rupert,54.3161,-130.3201,52.63,79,75,6.91
Dikson,73.5069,80.5464,29.93,93,100,14.29
Brits,-25.6347,27.7802,50.41,91,2,5.14
Hervey Bay,-25.2986,152.8535,69.03,62,81,4.0
Nikolskoye,59.7035,30.7861,54.7,87,98,3.38
Korla,41.7597,86.1469,77.16,29,49,8.77
Tahe,52.3333,124.7333,79.38,27,100,3.24
São João da Barra,-21.6403,-41.0511,73.83,86,100,13.51
Grindavik,63.8424,-22.4338,46.74,93,75,8.79
Conde,-7.2597,-34.9075,74.66,94,0,8.39
Vidalia,32.2177,-82.4135,74.71,94,90,3.44
Nome,64.5011,-165.4064,33.87,86,90,10.36
Hermanus,-34.4187,19.2345,55.8,45,2,11.81
Palana,59.1167,159.9667,45.79,74,84,4.47
Gvarv,59.3875,9.1737,54.55,88,86,3.22
Mosjøen,65.836,13.1908,53.6,95,100,3.78
Klichka,50.4457,117.996,74.34,30,2,8.43
Hasaki,35.7333,140.8333,73.8,79,100,2.13
Lavrentiya,65.5833,-171.0,35.02,87,91,5.46
Tadine,-21.55,167.8833,72.57,65,100,14.38
Estelle,29.8458,-90.1067,75.06,84,75,6.91
Provideniya,64.3833,-173.3,41.11,60,75,11.18
Aklavik,68.2191,-135.0107,47.23,37,12,9.01
Katsuura,35.1333,140.3,73.31,82,97,1.74
East London,-33.0153,27.9116,62.6,39,0,10.71
Barrow,71.2906,-156.7887,32.02,86,90,14.97
Rosarito,32.3333,-117.0333,64.08,72,45,7.18
Voh,-20.9667,164.7,75.92,46,100,11.52
Piaçabuçu,-10.4056,-36.4344,73.78,88,43,3.49
Zhaoyang,42.682,126.0305,68.02,52,40,1.9
Launceston,-41.45,147.1667,58.55,84,75,5.99
Sørland,67.667,12.6934,50.43,96,100,6.24
Thompson,55.7435,-97.8558,57.36,88,90,6.91
Pemberton,50.3164,-122.8027,53.29,74,100,4.5
Suleja,9.1758,7.1808,77.99,94,98,2.48
Kharp,66.8014,65.8081,38.55,56,13,8.84
Vila Franca do Campo,37.7167,-25.4333,64.81,87,99,2.98
Corredor,8.64,-82.946,82.49,96,83,1.68
Corsicana,32.0954,-96.4689,84.07,61,1,5.75
Nuuk,64.1835,-51.7216,41.61,100,90,5.75
Tres Picos,15.8667,-93.5333,80.65,85,93,1.16
Chik Ballāpur,13.4342,77.7242,71.42,78,32,7.18
Lima,-12.0432,-77.0282,63.54,81,90,4.61
Uíge,-7.6087,15.0613,63.1,56,49,2.71
Aksha,50.2814,113.2867,77.2,27,45,8.25
Ancud,-41.8697,-73.8203,51.48,87,100,16.26
Lorengau,-2.0226,147.2712,84.81,65,48,3.53
Te Anau,-45.4167,167.7167,47.62,76,1,0.76
Rurrenabaque,-14.4413,-67.5278,70.5,97,17,1.79
Neiafu,-18.65,-173.9833,83.08,69,75,8.05
Ouallam,14.3188,2.0866,84.61,43,16,17.52
Hambantota,6.1241,81.1185,77.34,100,0,15.7
Pisco,-13.7,-76.2167,62.65,88,20,3.44
Arkhangelsk,64.5401,40.5433,35.71,80,0,7.87
Bambous Virieux,-20.3428,57.7575,73.65,83,40,16.02
Berezovyy,51.6667,135.7,64.15,69,90,1.41
Biak,-0.9131,122.8766,82.47,67,81,5.3
Kendari,-3.945,122.4989,85.51,62,52,1.7
Mezen',65.8522,44.24,39.92,62,2,5.97
Pangody,65.85,74.4859,39.52,56,34,11.1
Aykhal,66.0,111.5,40.21,90,53,27.94
Alice Springs,-23.7,133.8833,60.35,41,14,4.05
Solnechnyy,50.7214,136.6319,65.44,61,50,1.77
Watertown,42.3709,-71.1828,77.13,65,1,1.01
Faanui,-16.4833,-151.75,81.39,76,38,11.3
Luwuk,-0.9516,122.7875,84.97,66,81,5.39
Narsaq,60.9167,-46.05,53.82,76,100,2.51
Huainan,32.6264,116.9969,89.94,30,100,11.3
Abu Dhabi,24.4667,54.3667,89.62,66,0,13.22
San Andrés,12.5847,-81.7006,84.22,79,20,13.8
Agua Buena,7.8167,-80.4,79.74,86,100,3.38
Portland,45.5234,-122.6762,57.43,76,90,3.0
Liaoyang,41.2719,123.1731,77.32,37,89,5.26
Chokurdakh,70.6333,147.9167,42.31,58,79,5.99
Orsha,54.5153,30.4053,53.92,92,33,5.93
Broome,42.2506,-75.833,74.28,67,84,3.67
Puerto Colombia,10.9878,-74.9547,82.49,86,100,12.84
Marsh Harbour,26.5412,-77.0636,78.91,80,100,15.77
Porto-Novo,6.4965,2.6036,82.22,85,49,5.88
Saint George,37.1041,-113.5841,97.79,10,1,4.0
Tynda,55.1667,124.7167,81.86,25,12,10.45
Skibbereen,51.55,-9.2667,48.0,88,93,6.91
Vlašim,49.7063,14.8988,55.78,93,11,1.14
Ekenäs,59.9736,23.4339,56.88,62,15,6.08
Kashgar,39.4547,75.9797,79.81,18,40,3.6
Half Moon Bay,37.4636,-122.4286,63.23,61,1,14.97
Kumul,42.8,93.45,73.4,11,1,13.87
Altay,47.8667,88.1167,64.54,25,0,3.44
Kimamba,-6.7833,37.1333,69.06,70,99,2.48
Mauá,-23.6678,-46.4614,65.57,94,87,5.55
Cabra,37.4725,-4.4421,64.36,56,0,3.56
Pathein,16.7833,94.7333,84.9,73,100,7.99
Kruisfontein,-34.0033,24.7314,54.7,27,0,8.25
Vila Velha,-20.3297,-40.2925,71.74,91,20,1.99
Banda Aceh,5.5577,95.3222,82.9,68,100,10.09
Motygino,58.1831,94.7592,54.82,96,100,10.47
Baijiantan,45.6333,85.1833,72.03,18,10,5.68
Kurchum,48.5722,83.6542,62.87,39,1,1.57
Thinadhoo,0.5333,72.9333,82.85,73,21,11.9
Sanandij,35.3144,46.9923,59.04,32,0,1.72
Fortuna,40.5982,-124.1573,59.65,62,1,7.0
Agdangan,13.8725,121.9153,87.12,69,100,0.47
Cabedelo,-6.9811,-34.8339,75.87,86,28,10.56
Stoughton,42.1251,-71.1023,76.66,66,1,3.44
São Filipe,14.8961,-24.4956,73.76,77,18,8.59
Astoria,46.1879,-123.8313,53.91,80,20,1.99
El Fuerte,26.4189,-108.6194,93.56,22,4,10.49
Asbestovskiy,57.7557,61.3967,62.78,59,13,5.95
Fes,34.0372,-4.9998,73.65,40,0,5.37
Port Elizabeth,-33.918,25.5701,57.49,41,0,9.22
Qaanaaq,77.484,-69.3632,39.76,73,58,6.15
La Santisima Trinidad,-14.8333,-64.9,73.29,80,80,4.43
Sitka,57.0531,-135.33,53.49,62,90,4.61
Norman Wells,65.282,-126.8329,53.64,58,75,4.61
Sur,22.5667,59.5289,82.62,78,0,12.28
Margate,51.3813,1.3862,55.06,80,22,1.01
Geraldton,-28.7667,114.6,57.61,77,100,16.71
São José da Coroa Grande,-8.8978,-35.1478,75.36,85,34,6.13
Japura,-0.3167,102.35,83.12,73,43,2.93
Zhigansk,66.7697,123.3711,54.88,49,100,20.8
Nanortalik,60.1432,-45.2371,42.82,76,100,11.23
Castanheira de Pêra,40.0072,-8.2105,52.9,85,0,5.03
Diamantino,-14.4086,-56.4461,75.43,55,97,3.65
Shahrud,36.4182,54.9763,67.78,51,0,10.27
Melfi,40.9965,15.6514,59.29,81,8,6.15
Gurlan,41.8447,60.3919,77.07,32,0,15.01
South Lake Tahoe,38.9332,-119.9844,67.15,35,1,11.5
Shuiji,27.4214,118.345,83.44,48,78,0.65
Varhaug,58.6147,5.6457,49.23,87,93,9.91
Itarema,-2.9248,-39.9167,76.41,86,7,7.92
Morehead,37.2711,-87.1764,72.14,91,90,0.0
Pak Phanang,8.3511,100.202,82.42,72,100,9.8
Quatre Cocos,-20.2078,57.7625,71.1,81,48,16.08
Esperance,-33.8667,121.9,58.84,60,100,25.28
Chardara,41.2547,67.9692,80.98,35,7,2.24
Doka,13.5167,35.7667,82.62,55,100,15.14
Wajir,1.7471,40.0573,73.85,74,46,15.41
Belaya Gora,68.5333,146.4167,48.15,54,46,3.09
North Platte,41.1239,-100.7654,80.62,56,1,4.0
Zyryanovsk,49.7386,84.2719,57.76,58,0,2.37
Kopong,-24.4833,25.8833,44.83,81,0,5.75
Al Bardīyah,31.7561,25.0865,68.49,77,0,9.6
Tanout,14.9709,8.8879,85.78,32,55,4.12
Tual,-5.6667,132.75,81.19,80,100,14.43
Biltine,14.5333,20.9167,86.67,17,100,6.29
Maceió,-9.6658,-35.7353,72.84,94,40,2.08
Tosya,41.0155,34.0401,49.84,80,27,2.44
Aného,6.2333,1.6,80.8,81,65,8.5
Pecos,31.4229,-103.4932,100.49,9,1,10.36
Victoria Point,-27.5833,153.3,68.99,63,51,4.0
Bilibino,68.0546,166.4372,70.29,35,6,13.87
Saint-François,46.4154,3.9054,58.26,92,90,4.61
Belyy Yar,53.6039,91.3903,53.49,76,0,6.4
Inhambane,-23.865,35.3833,67.08,72,70,11.56
Nísia Floresta,-6.0911,-35.2086,75.58,93,4,8.32
Souillac,-20.5167,57.5167,73.78,83,40,14.52
Salalah,17.0151,54.0924,84.29,89,75,4.61
Broken Hill,-31.95,141.4333,58.71,47,60,16.11
Tocache,-8.1842,-76.5125,69.35,98,100,0.89
Kaseda-shirakame,31.4167,130.3167,77.85,66,100,0.74
Makīnsk,52.6292,70.4169,59.97,41,4,1.07
Buraidah,26.326,43.975,86.45,12,48,10.16
Bako,5.7833,36.5667,63.28,73,59,4.5
Dhidhdhoo,6.8833,73.1,82.33,78,100,14.38
Krasnoufimsk,56.6059,57.7669,59.34,66,9,1.92
Chumikan,54.7183,135.315,43.21,80,65,8.32
Antalaha,-14.9003,50.2788,71.28,84,42,9.15
Carauari,-4.8828,-66.8958,73.17,98,93,2.73
Kaoma,-14.7833,24.8,46.56,85,19,5.53
Gallup,35.5281,-108.7426,84.24,11,1,5.01
Hong Kong,22.2855,114.1577,83.7,79,81,3.0
Nhamundá,-2.1861,-56.7131,78.91,74,92,3.02
Brownfield,33.1812,-102.2744,85.82,29,1,8.61
Rocha,-34.4833,-54.3333,45.25,90,95,3.65
Fayaoué,-20.65,166.5333,72.77,57,100,9.46
Harper,4.375,-7.7169,78.19,86,100,10.13
Pullman,46.7313,-117.1796,52.81,49,90,7.0
Truth or Consequences,33.1284,-107.2528,91.63,12,1,13.53
Bubaque,11.2833,-15.8333,79.29,82,100,8.21
Waingapu,-9.6567,120.2641,84.34,66,91,12.26
Natal,-5.795,-35.2094,75.42,88,75,9.8
Arlit,18.7369,7.3853,90.91,13,87,8.75
Sumenep,-7.0167,113.8667,84.47,68,13,6.26
Brownwood,31.7093,-98.9912,82.15,79,83,17.11
Haines Junction,60.7522,-137.5108,53.55,62,100,5.75
Grand-Lahou,5.1367,-5.0242,78.8,87,48,9.15
Bandundu Province,-3.3167,17.3667,70.48,95,84,0.65
Waverly,42.7392,-84.6208,81.1,51,90,6.91
Poum,-20.2333,164.0167,73.63,59,98,16.26
Santiago,-33.4569,-70.6483,55.11,60,90,2.3
Talnakh,69.4865,88.3972,32.0,95,100,5.93
Dingle,10.9995,122.6711,84.56,67,100,4.29
Orange Cove,36.6244,-119.3137,91.49,12,41,9.24
Tarsus,36.9188,34.8784,69.67,59,0,4.45
Bell Ville,-32.6259,-62.6887,44.8,67,100,7.14
San Isidro,-12.1167,-77.05,64.29,86,90,9.75
Tupanciretã,-29.0806,-53.8358,53.76,94,100,16.49
Atar,20.5169,-13.0499,90.91,16,5,15.01
Vágur,61.4732,-6.8119,48.58,88,96,7.11
Madingou,-4.1536,13.55,72.73,83,9,1.77
Dovers,12.8833,-61.1833,80.04,79,86,21.3
San Cristobal,7.7669,-72.225,69.98,99,100,1.3
Upington,-28.4478,21.2561,53.98,43,0,11.5
Ullapool,57.8987,-5.1604,45.61,85,93,4.32
La Ronge,55.1001,-105.2842,62.85,55,75,6.91
Birao,10.2849,22.7882,76.06,75,48,4.47
Suzaka,36.65,138.3167,77.32,71,99,1.25
Ostrovnoy,68.0531,39.5131,38.53,81,19,6.4
Pacific Grove,36.6177,-121.9166,59.43,71,20,4.0
Fairbanks,64.8378,-147.7164,64.72,51,20,11.5
Itoman,26.1247,127.6694,78.33,86,75,11.5
Kamenka,51.3223,42.7678,54.21,93,90,4.97
Eyl,7.9803,49.8164,78.37,83,4,20.4
Luganville,-15.5333,167.1667,77.77,80,100,11.27
Umluj,25.0213,37.2685,81.77,51,0,10.36
Mount Gambier,-37.8333,140.7667,60.71,63,100,20.71
College,64.8569,-147.8028,64.63,51,75,10.36
Leh,34.1667,77.5833,51.35,24,0,4.34
Coyhaique,-45.5752,-72.0662,42.75,87,90,6.91
Maputo,-25.9653,32.5892,60.22,85,40,3.0
Chui,-33.6971,-53.4616,50.25,79,8,6.51
Vanino,49.0869,140.2543,54.16,69,80,6.96
North Bend,43.4065,-124.2243,59.04,68,90,12.66
Santa Fe,-31.6333,-60.7,52.16,70,6,4.0
Ratnapura,6.6828,80.3992,78.93,90,100,2.15
Sungai Raya,0.7,108.9,84.81,69,58,6.96
Elizabeth City,36.2946,-76.2511,78.48,86,1,1.99
Linjiang,41.8069,126.9078,71.96,44,0,3.09
Tucuruí,-3.7661,-49.6725,79.02,70,59,1.88
Barranco,9.5167,-82.7,77.32,91,32,2.71
Bengkulu,-3.8004,102.2655,80.2,76,28,1.72
Valparaíso,-33.0393,-71.6273,55.47,58,100,9.08
Kavaratti,10.5669,72.642,82.17,78,100,12.91
Santa Maria,-29.6842,-53.8069,56.5,88,90,12.95
Storforshei,66.4043,14.5233,52.66,95,100,3.76
Sisimiut,66.9395,-53.6735,41.04,88,100,1.74
Phonhong,18.5007,102.4166,78.62,95,100,1.52
Great Falls,47.5002,-111.3008,62.8,26,1,5.75
Sucúa,-2.4667,-78.1667,67.87,98,100,1.77
Taoudenni,22.6783,-3.9836,98.78,9,57,5.79
Tautira,-17.7333,-149.15,84.22,71,7,9.89
Cam Ranh,11.9214,109.1591,91.36,52,20,4.0
Waipawa,-41.4122,175.5153,54.12,68,92,11.39
Fort Nelson,58.8053,-122.7002,62.19,36,75,11.5
Port Macquarie,-31.4333,152.9167,65.46,51,9,5.28
Port Lincoln,-34.7333,135.8667,64.47,57,13,27.45
Great Bend,38.3645,-98.7648,79.3,64,1,3.0
Port Augusta,-32.5,137.7667,64.71,37,0,26.04
Longyearbyen,78.2186,15.6401,35.44,80,0,5.75
Egvekinot,66.3167,-179.1667,41.49,52,3,0.94
Bryan,30.6744,-96.37,81.77,78,1,5.75
Kattivākkam,13.2167,80.3167,84.07,83,99,11.99
Villaviciosa,43.4813,-5.4357,58.48,95,39,3.11
Beatrice,40.2681,-96.747,78.6,61,1,8.05
Cap-Haïtien,19.7578,-72.2042,80.1,77,8,15.17
Baykit,61.67,96.37,46.04,67,99,6.58
Singkawang,0.9,109.0,85.64,64,58,3.87
Acajutla,13.5928,-89.8275,80.29,82,37,6.2
Den Helder,52.9599,4.7593,52.57,91,20,3.0
Cidreira,-30.1811,-50.2056,62.67,77,100,11.54
Pacifica,37.6138,-122.4869,61.21,68,20,5.99
Hualmay,-11.0964,-77.6139,63.61,85,34,7.94
Adré,13.4667,22.2,79.88,48,27,4.47
North Augusta,33.5018,-81.9651,73.2,92,20,4.61
Peterhead,57.5058,-1.7981,48.76,82,100,5.41
Estación Coahuila,32.1939,-115.0017,96.01,24,27,19.26
Cayenne,4.9333,-52.3333,79.09,88,90,3.2
Chernyshevskiy,63.0128,112.4714,46.74,38,97,17.72
Khor,47.8861,134.9464,69.87,61,89,4.36
Boguchar,49.9358,40.545,53.78,94,92,4.52
Gunnedah,-30.9833,150.25,54.72,56,37,1.99
Dali,25.7,100.1833,71.42,70,53,3.58
Huilong,31.8111,121.655,83.98,50,100,11.86
Zabul Province,32.25,67.25,74.48,30,0,4.94
Ashland,40.8167,-82.2665,75.85,81,100,6.89
Iwaki,37.05,140.8833,74.86,66,100,1.01
Kaa-Khem,51.6833,94.7333,52.66,55,26,3.04
Muros,42.7762,-9.0603,56.12,84,55,8.81
Urbano Santos,-3.2078,-43.4036,72.93,92,12,2.42
Nemenčinė,54.85,25.4833,56.34,91,39,5.39
Macaé,-22.3708,-41.7869,71.35,94,0,4.61
Pinotepa Nacional,16.3167,-98.0167,80.33,80,91,3.69
San Marcos,33.1434,-117.1661,63.1,74,90,5.01
Mudgee,-32.5943,149.5871,53.65,62,82,0.0
Pierre,44.3683,-100.351,78.06,65,1,1.99
Rucheng,32.3883,120.5553,85.96,26,100,10.27
Port Victoria,0.0939,33.9756,66.4,79,36,7.14
Cochabamba,-17.3895,-66.1568,60.55,44,40,9.22
Marawi,7.9986,124.2928,77.65,58,41,1.95
Los Llanos de Aridane,28.6585,-17.9182,59.13,82,90,13.94
Inuvik,68.3499,-133.7218,48.06,48,20,10.36
Severo-Yeniseyskiy,60.3725,93.0408,43.18,94,100,8.37
Albanel,48.8832,-72.4487,64.38,68,76,5.75
Lompoc,34.6391,-120.4579,60.33,77,90,10.0
Sterling,39.0062,-77.4286,79.43,71,1,1.01
